cusip,issuer,class,status,cusip6,cusip8,cusip9
45259A 30 8,IMPACT SHS FDS I TR,SUS DV GGE ETF,,45259A,45259A30,45259A308
452907 10 8 *,IMMUNOMEDICS INC,COM,,452907,45290710,452907108
452907 90 8  ,IMMUNOMEDICS INC,CALL,,452907,45290790,452907908
452907 95 8  ,IMMUNOMEDICS INC,PUT,,452907,45290795,452907958
452926 10 8,INCOME OPPORTUNITY RLTY INVS,COM,,452926,45292610,452926108
453038 40 8 *,IMPERIAL OIL LTD,COM NEW,,453038,45303840,453038408
453038 90 8  ,IMPERIAL OIL LTD,CALL,,453038,45303890,453038908
453038 95 8  ,IMPERIAL OIL LTD,PUT,,453038,45303895,453038958
453204 10 9 *,IMPINJ INC,COM,,453204,45320410,453204109
453204 90 9  ,IMPINJ INC,CALL,,453204,45320490,453204909
453204 95 9  ,IMPINJ INC,PUT,,453204,45320495,453204959
45332Y 10 9 *,INARI MED INC,COM,,45332Y,45332Y10,45332Y109
45332Y 90 9  ,INARI MED INC,CALL,,45332Y,45332Y90,45332Y909
45332Y 95 9  ,INARI MED INC,PUT,,45332Y,45332Y95,45332Y959
45337C AN 2,INCYTE CORP,NOTE  1.250%11/1,,45337C,45337CAN,45337CAN2
45337C 10 2 *,INCYTE CORP,COM,,45337C,45337C10,45337C102
45337C 90 2  ,INCYTE CORP,CALL,,45337C,45337C90,45337C902
45337C 95 2  ,INCYTE CORP,PUT,,45337C,45337C95,45337C952
453415 60 6 *,INDEPENDENCE CONTRACT DRILLI,COM,,453415,45341560,453415606
453415 90 6  ,INDEPENDENCE CONTRACT DRILLI,CALL,,453415,45341590,453415906
453415 95 6  ,INDEPENDENCE CONTRACT DRILLI,PUT,,453415,45341595,453415956
453440 30 7,INDEPENDENCE HLDG CO NEW,COM NEW,,453440,45344030,453440307
45378A 10 6 *,INDEPENDENCE RLTY TR INC,COM,,45378A,45378A10,45378A106
45378A 90 6  ,INDEPENDENCE RLTY TR INC,CALL,,45378A,45378A90,45378A906
45378A 95 6  ,INDEPENDENCE RLTY TR INC,PUT,,45378A,45378A95,45378A956
453836 10 8 *,INDEPENDENT BANK CORP MASS,COM,,453836,45383610,453836108
453836 90 8  ,INDEPENDENT BANK CORP MASS,CALL,,453836,45383690,453836908
453836 95 8  ,INDEPENDENT BANK CORP MASS,PUT,,453836,45383695,453836958
453838 60 9 *,INDEPENDENT BK CORP MICH,COM NEW,,453838,45383860,453838609
453838 90 9  ,INDEPENDENT BK CORP MICH,CALL,,453838,45383890,453838909
453838 95 9  ,INDEPENDENT BK CORP MICH,PUT,,453838,45383895,453838959
45384B 10 6 *,INDEPENDENT BK GROUP INC,COM,,45384B,45384B10,45384B106
45384B 90 6  ,INDEPENDENT BK GROUP INC,CALL,,45384B,45384B90,45384B906
45384B 95 6  ,INDEPENDENT BK GROUP INC,PUT,,45384B,45384B95,45384B956
45408X 30 8 *,INDIA GLOBALIZATION CAP INC,COM NEW,,45408X,45408X30,45408X308
45408X 90 8  ,INDIA GLOBALIZATION CAP INC,CALL,,45408X,45408X90,45408X908
45408X 95 8  ,INDIA GLOBALIZATION CAP INC,PUT,,45408X,45408X95,45408X958
454089 10 3 *,INDIA FD INC,COM,,454089,45408910,454089103
454089 90 3  ,INDIA FD INC,CALL,,454089,45408990,454089903
454089 95 3  ,INDIA FD INC,PUT,,454089,45408995,454089953
45409B 10 7,INDEXIQ ETF TR,HEDGE MLTI ETF,,45409B,45409B10,45409B107
45409B 20 6,INDEXIQ ETF TR,HDG MACTRK ETF,,45409B,45409B20,45409B206
45409B 30 5,INDEXIQ ETF TR,LNG SHT TRACK,,45409B,45409B30,45409B305
45409B 33 9,INDEXIQ ETF TR,DURATSHORTIQ,DELETED,45409B,45409B33,45409B339
45409B 36 2,INDEXIQ ETF TR,IQ 500 INT ETF,,45409B,45409B36,45409B362
45409B 38 8,INDEXIQ ETF TR,IQ CHAIKIN US,,45409B,45409B38,45409B388
45409B 39 6,INDEXIQ ETF TR,IQ CHAIKIN US,,45409B,45409B39,45409B396
45409B 40 4,INDEXIQ ETF TR,HDG EVE DRIV,,45409B,45409B40,45409B404
45409B 41 2,INDEXIQ ETF TR,IQ S&P HGH YLD,,45409B,45409B41,45409B412
45409B 45 3,INDEXIQ ETF TR,IQ CNDRM ESG INT,,45409B,45409B45,45409B453
45409B 46 1,INDEXIQ ETF TR,IQ CANDRM ESG US,,45409B,45409B46,45409B461
45409B 47 9,INDEXIQ ETF TR,IQ ENCH COR PL,,45409B,45409B47,45409B479
45409B 50 3,INDEXIQ ETF TR,IQ HEDGMKT NUT,,45409B,45409B50,45409B503
45409B 51 1,INDEXIQ ETF TR,GTALEADERSIQ,DELETED,45409B,45409B51,45409B511
45409B 53 7,INDEXIQ ETF TR,JAPNFTSEHDGD,DELETED,45409B,45409B53,45409B537
45409B 55 2,INDEXIQ ETF TR,EUROFTSEHDGD,DELETED,45409B,45409B55,45409B552
45409B 56 0,INDEXIQ ETF TR,HDGD FTSE INTL,,45409B,45409B56,45409B560
45409B 60 2,INDEXIQ ETF TR,IQ REAL RTN ETF,,45409B,45409B60,45409B602
45409B 62 8,INDEXIQ ETF TR,US RL EST SMCP,,45409B,45409B62,45409B628
45409B 80 0,INDEXIQ ETF TR,IQ MRGR ARB ETF,,45409B,45409B80,45409B800
45409B 83 4 *,INDEXIQ ETF TR,CPSMAGRIGLB,DELETED,45409B,45409B83,45409B834
45409B 90 4  ,INDEXIQ ETF TR,CALL,DELETED,45409B,45409B90,45409B904
45409B 95 4  ,INDEXIQ ETF TR,PUT,DELETED,45409B,45409B95,45409B954
45409B 88 3,INDEXIQ ETF TR,IQ GLB RES ETF,,45409B,45409B88,45409B883
45409F 81 9,INDEXIQ ACTIVE ETF TR,IQ ULTR SHT DU,,45409F,45409F81,45409F819
45409F 82 7,INDEXIQ ACTIVE ETF TR,IQ MACKAY INTRME,,45409F,45409F82,45409F827
45409F 84 3,INDEXIQ ACTIVE ETF TR,IQ MACKAY INSRED,,45409F,45409F84,45409F843
456237 10 6 *,INDUSTRIAL LOGISTICS PPTYS T,COM SHS BEN INT,,456237,45623710,456237106
456237 90 6  ,INDUSTRIAL LOGISTICS PPTYS T,CALL,,456237,45623790,456237906
456237 95 6  ,INDUSTRIAL LOGISTICS PPTYS T,PUT,,456237,45623795,456237956
456357 20 1,INDUSTRIAL TECH ACQU INC,08/31/2025UNIT,ADDED,456357,45635720,456357201
456463 10 8,INDUSTRIAS BACHOCO S A B DE,SPON ADR B,,456463,45646310,456463108
45665G 30 3 *,INFINITY PHARMACEUTICALS INC,COM,,45665G,45665G30,45665G303
45665G 90 3  ,INFINITY PHARMACEUTICALS INC,CALL,,45665G,45665G90,45665G903
45665G 95 3  ,INFINITY PHARMACEUTICALS INC,PUT,,45665G,45665G95,45665G953
45667G AC 7,INFINERA CORP,NOTE  2.125% 9/0,,45667G,45667GAC,45667GAC7
45667G 10 3 *,INFINERA CORP,COM,,45667G,45667G10,45667G103
45667G 90 3  ,INFINERA CORP,CALL,,45667G,45667G90,45667G903
45667G 95 3  ,INFINERA CORP,PUT,,45667G,45667G95,45667G953
45675Y 10 4,INFORMATION SVCS GROUP INC,COM,,45675Y,45675Y10,45675Y104
456788 10 8 *,INFOSYS LTD,SPONSORED ADR,,456788,45678810,456788108
456788 90 8  ,INFOSYS LTD,CALL,,456788,45678890,456788908
456788 95 8  ,INFOSYS LTD,PUT,,456788,45678895,456788958
456837 10 3 *,ING GROEP N.V.,SPONSORED ADR,,456837,45683710,456837103
456837 90 3  ,ING GROEP N.V.,CALL,,456837,45683790,456837903
456837 95 3  ,ING GROEP N.V.,PUT,,456837,45683795,456837953
45685K 10 2,INFUSYSTEM HLDGS INC,COM,,45685K,45685K10,45685K102
45686J 10 4,INFRA AND ENERGY ALTRNTIVE I,COM,,45686J,45686J10,45686J104
45686J 11 2,INFRA AND ENERGY ALTRNTIVE I,*W EXP 05/20/202,,45686J,45686J11,45686J112
45687D 10 6,INFUSIVE US TR,COMPUNDING EQT,,45687D,45687D10,45687D106
45687V 10 6 *,INGERSOLL RAND INC,COM,,45687V,45687V10,45687V106
45687V 90 6  ,INGERSOLL RAND INC,CALL,,45687V,45687V90,45687V906
45687V 95 6  ,INGERSOLL RAND INC,PUT,,45687V,45687V95,45687V956
45688C 10 7 *,INGEVITY CORP,COM,,45688C,45688C10,45688C107
45688C 90 7  ,INGEVITY CORP,CALL,,45688C,45688C90,45688C907
45688C 95 7  ,INGEVITY CORP,PUT,,45688C,45688C95,45688C957
457030 10 4 *,INGLES MKTS INC,CL A,,457030,45703010,457030104
457030 90 4  ,INGLES MKTS INC,CALL,,457030,45703090,457030904
457030 95 4  ,INGLES MKTS INC,PUT,,457030,45703095,457030954
457187 10 2 *,INGREDION INC,COM,,457187,45718710,457187102
457187 90 2  ,INGREDION INC,CALL,,457187,45718790,457187902
457187 95 2  ,INGREDION INC,PUT,,457187,45718795,457187952
45720L 10 7,INHIBRX INC,COM,ADDED,45720L,45720L10,45720L107
457642 20 5 *,INNODATA INC,COM NEW,,457642,45764220,457642205
457642 90 5  ,INNODATA INC,CALL,,457642,45764290,457642905
457642 95 5  ,INNODATA INC,PUT,,457642,45764295,457642955
45765U AB 9,INSIGHT ENTERPRISES INC,2/10.750%NOTE,ADDED,45765U,45765UAB,45765UAB9
45765U 10 3 *,INSIGHT ENTERPRISES INC,COM,,45765U,45765U10,45765U103
45765U 90 3  ,INSIGHT ENTERPRISES INC,CALL,,45765U,45765U90,45765U903
45765U 95 3  ,INSIGHT ENTERPRISES INC,PUT,,45765U,45765U95,45765U953
45765Y 10 5 *,INSIGNIA SYS INC,COM,,45765Y,45765Y10,45765Y105
45765Y 90 5  ,INSIGNIA SYS INC,CALL,,45765Y,45765Y90,45765Y905
45765Y 95 5  ,INSIGNIA SYS INC,PUT,,45765Y,45765Y95,45765Y955
457669 AA 7,INSMED INC,NOTE  1.750% 1/1,,457669,457669AA,457669AA7
457669 30 7 *,INSMED INC,COM PAR $.01,,457669,45766930,457669307
457669 90 7  ,INSMED INC,CALL,,457669,45766990,457669907
457669 95 7  ,INSMED INC,PUT,,457669,45766995,457669957
45768S 10 5 *,INNOSPEC INC,COM,,45768S,45768S10,45768S105
45768S 90 5  ,INNOSPEC INC,CALL,,45768S,45768S90,45768S905
45768S 95 5  ,INNOSPEC INC,PUT,,45768S,45768S95,45768S955
45769N 10 5 *,INNOVATIVE SOLUTIONS & SUPPO,COM,,45769N,45769N10,45769N105
45769N 90 5  ,INNOVATIVE SOLUTIONS & SUPPO,CALL,,45769N,45769N90,45769N905
45769N 95 5  ,INNOVATIVE SOLUTIONS & SUPPO,PUT,,45769N,45769N95,45769N955
45772F AB 3,INPHI CORP,NOTE  1.125%12/0,,45772F,45772FAB,45772FAB3
45772F AC 1,INPHI CORP,NOTE  0.750% 9/0,,45772F,45772FAC,45772FAC1
45772F 10 7 *,INPHI CORP,COM,,45772F,45772F10,45772F107
45772F 90 7  ,INPHI CORP,CALL,,45772F,45772F90,45772F907
45772F 95 7  ,INPHI CORP,PUT,,45772F,45772F95,45772F957
45773H AB 8,INOVIO PHARMACEUTICALS INC,NOTE  6.500% 3/0,,45773H,45773HAB,45773HAB8
45773H 20 1 *,INOVIO PHARMACEUTICALS INC,COM NEW,,45773H,45773H20,45773H201
45773H 90 1  ,INOVIO PHARMACEUTICALS INC,CALL,,45773H,45773H90,45773H901
45773H 95 1  ,INOVIO PHARMACEUTICALS INC,PUT,,45773H,45773H95,45773H951
45773Y 10 5 *,INNERWORKINGS INC,COM,,45773Y,45773Y10,45773Y105
45773Y 90 5  ,INNERWORKINGS INC,CALL,,45773Y,45773Y90,45773Y905
45773Y 95 5  ,INNERWORKINGS INC,PUT,,45773Y,45773Y95,45773Y955
457730 10 9 *,INSPIRE MED SYS INC,COM,,457730,45773010,457730109
457730 90 9  ,INSPIRE MED SYS INC,CALL,,457730,45773090,457730909
457730 95 9  ,INSPIRE MED SYS INC,PUT,,457730,45773095,457730959
45774W 10 8 *,INSTEEL INDS INC,COM,,45774W,45774W10,45774W108
45774W 90 8  ,INSTEEL INDS INC,CALL,,45774W,45774W90,45774W908
45774W 95 8  ,INSTEEL INDS INC,PUT,,45774W,45774W95,45774W958
45778Q 10 7 *,INSPERITY INC,COM,,45778Q,45778Q10,45778Q107
45778Q 90 7  ,INSPERITY INC,CALL,,45778Q,45778Q90,45778Q907
45778Q 95 7  ,INSPERITY INC,PUT,,45778Q,45778Q95,45778Q957
45779A 12 7,INSPIREMD INC,*W EXP 07/07/202,,45779A,45779A12,45779A127
45779A 13 5,INSPIREMD INC,*W EXP 03/14/202,,45779A,45779A13,45779A135
45779A 85 3,INSPIREMD INC,COM,,45779A,45779A85,45779A853
45780L 10 4 *,INOGEN INC,COM,,45780L,45780L10,45780L104
45780L 90 4  ,INOGEN INC,CALL,,45780L,45780L90,45780L904
45780L 95 4  ,INOGEN INC,PUT,,45780L,45780L95,45780L954
45780R 10 1 *,INSTALLED BLDG PRODS INC,COM,,45780R,45780R10,45780R101
45780R 90 1  ,INSTALLED BLDG PRODS INC,CALL,,45780R,45780R90,45780R901
45780R 95 1  ,INSTALLED BLDG PRODS INC,PUT,,45780R,45780R95,45780R951
45780V AB 8,INOTEK PHARMACEUTICALS CORP,NOTE  5.750% 8/0,,45780V,45780VAB,45780VAB8
45781D 10 1 *,INOVALON HLDGS INC,COM CL A,,45781D,45781D10,45781D101
45781D 90 1  ,INOVALON HLDGS INC,CALL,,45781D,45781D90,45781D901
45781D 95 1  ,INOVALON HLDGS INC,PUT,,45781D,45781D95,45781D951
45781K 20 4,INNATE PHARMA S A,SPONSORED ADS,,45781K,45781K20,45781K204
45781M AB 7,INNOVIVA INC,NOTE  2.500% 8/1,,45781M,45781MAB,45781MAB7
45781M 10 1 *,INNOVIVA INC,COM,,45781M,45781M10,45781M101
45781M 90 1  ,INNOVIVA INC,CALL,,45781M,45781M90,45781M901
45781M 95 1  ,INNOVIVA INC,PUT,,45781M,45781M95,45781M951
45781V 10 1 *,INNOVATIVE INDL PPTYS INC,COM,,45781V,45781V10,45781V101
45781V 90 1  ,INNOVATIVE INDL PPTYS INC,CALL,,45781V,45781V90,45781V901
45781V 95 1  ,INNOVATIVE INDL PPTYS INC,PUT,,45781V,45781V95,45781V951
45781W 10 9,INSIGHT SELECT INCOME FD,COM,,45781W,45781W10,45781W109
45782B AA 2,INSEEGO CORP,NOTE  5.500% 6/1,,45782B,45782BAA,45782BAA2
45782B AD 6,INSEEGO CORP,NOTE  3.250% 5/0,,45782B,45782BAD,45782BAD6
45782B 10 4 *,INSEEGO CORP,COM,,45782B,45782B10,45782B104
45782B 90 4  ,INSEEGO CORP,CALL,,45782B,45782B90,45782B904
45782B 95 4  ,INSEEGO CORP,PUT,,45782B,45782B95,45782B954
45782C 10 2 *,INNOVATOR ETFS TR,IBD 50 ETF,,45782C,45782C10,45782C102
45782C 90 2  ,INNOVATOR ETFS TR,CALL,,45782C,45782C90,45782C902
45782C 95 2  ,INNOVATOR ETFS TR,PUT,,45782C,45782C95,45782C952
45782C 20 1,INNOVATOR ETFS TR,IBD ETF LEADERS,,45782C,45782C20,45782C201
45782C 23 5,INNOVATOR ETFS TR,9PLS20INVATR,ADDED,45782C,45782C23,45782C235
45782C 24 3,INNOVATOR ETFS TR,5PLS2INVTOR,ADDED,45782C,45782C24,45782C243
45782C 27 6,INNOVATOR ETFS TR,PWER100NASDAQ,ADDED,45782C,45782C27,45782C276
45782C 28 4,INNOVATOR ETFS TR,PWR2000RUSSELL,ADDED,45782C,45782C28,45782C284
45782C 29 2,INNOVATOR ETFS TR,S&P 500 ULTRA BF,,45782C,45782C29,45782C292
45782C 30 0,INNOVATOR ETFS TR,S&P 500 ULTRA,,45782C,45782C30,45782C300
45782C 31 8,INNOVATOR ETFS TR,S&P 500 PWR BUF,,45782C,45782C31,45782C318
45782C 32 6,INNOVATOR ETFS TR,S&P 500 BUFFER E,,45782C,45782C32,45782C326
45782C 33 4,INNOVATOR ETFS TR,NASDAQ 100 POWER,,45782C,45782C33,45782C334
45782C 34 2,INNOVATOR ETFS TR,RUSSELL 2000 PWR,,45782C,45782C34,45782C342
45782C 37 5,INNOVATOR ETFS TR,S&P 500 ULTRA,,45782C,45782C37,45782C375
45782C 38 3,INNOVATOR ETFS TR,S&P 500 PWR BUFR,,45782C,45782C38,45782C383
45782C 39 1,INNOVATOR ETFS TR,S&P 500 BUFFER,,45782C,45782C39,45782C391
45782C 40 9,INNOVATOR ETFS TR,S&P 500 BUFFER,,45782C,45782C40,45782C409
45782C 41 7,INNOVATOR ETFS TR,S&P 500 POWER,,45782C,45782C41,45782C417
45782C 42 5,INNOVATOR ETFS TR,S&P 500 ULTRA,,45782C,45782C42,45782C425
45782C 43 3,INNOVATOR ETFS TR,S&P 500 BUFFER,,45782C,45782C43,45782C433
45782C 46 6,INNOVATOR ETFS TR,NASDAQ 100 PWR,,45782C,45782C46,45782C466
45782C 47 4,INNOVATOR ETFS TR,RUSSELL 2000 P,,45782C,45782C47,45782C474
45782C 50 8,INNOVATOR ETFS TR,S&P 500 POWER,,45782C,45782C50,45782C508
45782C 51 6,INNOVATOR ETFS TR,MSCI EMGR MKT,,45782C,45782C51,45782C516
45782C 52 4,INNOVATOR ETFS TR,MSCI EAFE PWR,,45782C,45782C52,45782C524
45782C 53 2,INNOVATOR ETFS TR,S&P 500 ULTRA,,45782C,45782C53,45782C532
45782C 54 0,INNOVATOR ETFS TR,S&P 500 PWR BU,,45782C,45782C54,45782C540
45782C 55 7,INNOVATOR ETFS TR,S&P 500 BUFFER E,,45782C,45782C55,45782C557
45782C 56 5,INNOVATOR ETFS TR,S&P 500 ULTRA,,45782C,45782C56,45782C565
45782C 57 3,INNOVATOR ETFS TR,S&P 500 POWER,,45782C,45782C57,45782C573
45782C 58 1,INNOVATOR ETFS TR,S&P 500 BUFFER,,45782C,45782C58,45782C581
45782C 59 9,INNOVATOR ETFS TR,RUSSELL 2000 P,,45782C,45782C59,45782C599
45782C 61 5,INNOVATOR ETFS TR,NASDAQ 100 PWR,,45782C,45782C61,45782C615
45782C 64 9,INNOVATOR ETFS TR,S&P 500 ULTRA,,45782C,45782C64,45782C649
45782C 65 6,INNOVATOR ETFS TR,S&P 500 PWR,,45782C,45782C65,45782C656
45782C 66 4,INNOVATOR ETFS TR,S&P 500 BUFFER,,45782C,45782C66,45782C664
45782C 67 2,INNOVATOR ETFS TR,S&P 500 ULTRA,,45782C,45782C67,45782C672
45782C 68 0,INNOVATOR ETFS TR,S&P 500 PWR BU,,45782C,45782C68,45782C680
45782C 69 8,INNOVATOR ETFS TR,S&P 500 BUFFER,,45782C,45782C69,45782C698
45782C 71 4,INNOVATOR ETFS TR,MSCI EMGR MKT,,45782C,45782C71,45782C714
45782C 72 2,INNOVATOR ETFS TR,MSCI EAFE PWR,,45782C,45782C72,45782C722
45782C 73 0,INNOVATOR ETFS TR,S&P 500 ULTRA,,45782C,45782C73,45782C730
45782C 74 8,INNOVATOR ETFS TR,S&P 500 PWR BU,,45782C,45782C74,45782C748
45782C 75 5,INNOVATOR ETFS TR,S&P 500 BUFFER,,45782C,45782C75,45782C755
45782C 76 3,INNOVATOR ETFS TR,IBD BREAKOUT,,45782C,45782C76,45782C763
45782C 77 1,INNOVATOR ETFS TR,S&P 500 BUFETF,,45782C,45782C77,45782C771
45782C 78 9,INNOVATOR ETFS TR,S&P 500 BUFFER,,45782C,45782C78,45782C789
45782C 79 7,INNOVATOR ETFS TR,S&P 500 PWRETF,,45782C,45782C79,45782C797
45782C 80 5,INNOVATOR ETFS TR,S&P 500 ULTRA,,45782C,45782C80,45782C805
45782C 81 3,INNOVATOR ETFS TR,S&P 500 PWR,,45782C,45782C81,45782C813
45782C 82 1,INNOVATOR ETFS TR,S&P 500 ULTRA,,45782C,45782C82,45782C821
45782C 83 9,INNOVATOR ETFS TR,S&P 500 ULTRA,,45782C,45782C83,45782C839
45782C 86 2,INNOVATOR ETFS TR,LOUP FRONTIER,,45782C,45782C86,45782C862
45782C 87 0,INNOVATOR ETFS TR,S&P 500 PWR BU,,45782C,45782C87,45782C870
45782C 88 8,INNOVATOR ETFS TR,S&P 500 BUFFER,,45782C,45782C88,45782C888
45782N 10 8,INSPIRED ENTMT INC,COM,,45782N,45782N10,45782N108
45782T 10 5,INMUNE BIO INC,COM,,45782T,45782T10,45782T105
457821 30 4,INSU ACQUISITION CORP II,09/04/2025UNIT,ADDED,457821,45782130,457821304
45783G 10 2,INNOVATOR ETFS TR II,LADRD FD S&P 500,,45783G,45783G10,45783G102
45783G 20 1,INNOVATOR ETFS TR II,S&P INVSTMNT GRD,,45783G,45783G20,45783G201
45784P AH 4,INSULET CORP,NOTE  1.375%11/1,,45784P,45784PAH,45784PAH4
45784P 10 1 *,INSULET CORP,COM,,45784P,45784P10,45784P101
45784P 90 1  ,INSULET CORP,CALL,,45784P,45784P90,45784P901
45784P 95 1  ,INSULET CORP,PUT,,45784P,45784P95,45784P951
457867 10 9 *,INSURANCE ACQUISITION CORP,CL A,,457867,45786710,457867109
457867 90 9  ,INSURANCE ACQUISITION CORP,CALL,,457867,45786790,457867909
457867 95 9  ,INSURANCE ACQUISITION CORP,PUT,,457867,45786795,457867959
457867 11 7,INSURANCE ACQUISITION CORP,*W EXP 03/31/202,,457867,45786711,457867117
457867 30 7,INSURANCE ACQUISITION CORP,UNIT 03/31/2024,,457867,45786730,457867307
45790J 80 0,INPIXON,COM,,45790J,45790J80,45790J800
45790W 10 8,INOZYME PHARMA INC,COM,ADDED,45790W,45790W10,45790W108
457919 10 8,INNSUITES HOSPITALITY TR,SH BEN INT,,457919,45791910,457919108
457985 20 8 *,INTEGRA LIFESCIENCES HLDGS C,COM NEW,,457985,45798520,457985208
457985 90 8  ,INTEGRA LIFESCIENCES HLDGS C,CALL,,457985,45798590,457985908
457985 95 8  ,INTEGRA LIFESCIENCES HLDGS C,PUT,,457985,45798595,457985958
458140 10 0 *,INTEL CORP,COM,,458140,45814010,458140100
458140 90 0  ,INTEL CORP,CALL,,458140,45814090,458140900
458140 95 0  ,INTEL CORP,PUT,,458140,45814095,458140950
45816D 10 0,INTELLIGENT SYS CORP NEW,COM,,45816D,45816D10,45816D100
45817G 20 1 *,INTELLICHECK INC,COM NEW,,45817G,45817G20,45817G201
45817G 90 1  ,INTELLICHECK INC,CALL,,45817G,45817G90,45817G901
45817G 95 1  ,INTELLICHECK INC,PUT,,45817G,45817G95,45817G951
45826H 10 9 *,INTEGER HLDGS CORP,COM,,45826H,45826H10,45826H109
45826H 90 9  ,INTEGER HLDGS CORP,CALL,,45826H,45826H90,45826H909
45826H 95 9  ,INTEGER HLDGS CORP,PUT,,45826H,45826H95,45826H959
45826J 10 5 *,INTELLIA THERAPEUTICS INC,COM,,45826J,45826J10,45826J105
45826J 90 5  ,INTELLIA THERAPEUTICS INC,CALL,,45826J,45826J90,45826J905
45826J 95 5  ,INTELLIA THERAPEUTICS INC,PUT,,45826J,45826J95,45826J955
45826T 30 1,INTEGRA RES CORP,NEWCOM,ADDED,45826T,45826T30,45826T301
458334 10 9 *,INTER PARFUMS INC,COM,,458334,45833410,458334109
458334 90 9  ,INTER PARFUMS INC,CALL,,458334,45833490,458334909
458334 95 9  ,INTER PARFUMS INC,PUT,,458334,45833495,458334959
45841N 10 7 *,INTERACTIVE BROKERS GROUP IN,COM CL A,,45841N,45841N10,45841N107
45841N 90 7  ,INTERACTIVE BROKERS GROUP IN,CALL,,45841N,45841N90,45841N907
45841N 95 7  ,INTERACTIVE BROKERS GROUP IN,PUT,,45841N,45841N95,45841N957
45845P AA 6,INTERCEPT PHARMACEUTICALS IN,NOTE  3.250% 7/0,,45845P,45845PAA,45845PAA6
45845P AB 4,INTERCEPT PHARMACEUTICALS IN,NOTE  2.000% 5/1,,45845P,45845PAB,45845PAB4
45845P 10 8 *,INTERCEPT PHARMACEUTICALS IN,COM,,45845P,45845P10,45845P108
45845P 90 8  ,INTERCEPT PHARMACEUTICALS IN,CALL,,45845P,45845P90,45845P908
45845P 95 8  ,INTERCEPT PHARMACEUTICALS IN,PUT,,45845P,45845P95,45845P958
45857P 80 6 *,INTERCONTINENTAL HOTELS GROU,SPONSORED ADS,,45857P,45857P80,45857P806
45857P 90 6  ,INTERCONTINENTAL HOTELS GROU,CALL,,45857P,45857P90,45857P906
45857P 95 6  ,INTERCONTINENTAL HOTELS GROU,PUT,,45857P,45857P95,45857P956
45866F 10 4 *,INTERCONTINENTAL EXCHANGE IN,COM,,45866F,45866F10,45866F104
45866F 90 4  ,INTERCONTINENTAL EXCHANGE IN,CALL,,45866F,45866F90,45866F904
45866F 95 4  ,INTERCONTINENTAL EXCHANGE IN,PUT,,45866F,45866F95,45866F954
458665 30 4 *,INTERFACE INC,COM,,458665,45866530,458665304
458665 90 4  ,INTERFACE INC,CALL,,458665,45866590,458665904
458665 95 4  ,INTERFACE INC,PUT,,458665,45866595,458665954
45867G AB 7,INTERDIGITAL INC,6/02.000%NOTE,ADDED,45867G,45867GAB,45867GAB7
45867G 10 1 *,INTERDIGITAL INC,COM,,45867G,45867G10,45867G101
45867G 90 1  ,INTERDIGITAL INC,CALL,,45867G,45867G90,45867G901
45867G 95 1  ,INTERDIGITAL INC,PUT,,45867G,45867G95,45867G951
458685 10 4,INTERGROUP CORP,COM,,458685,45868510,458685104
459044 10 3 *,INTERNATIONAL BANCSHARES COR,COM,,459044,45904410,459044103
459044 90 3  ,INTERNATIONAL BANCSHARES COR,CALL,,459044,45904490,459044903
459044 95 3  ,INTERNATIONAL BANCSHARES COR,PUT,,459044,45904495,459044953
459200 10 1 *,INTERNATIONAL BUSINESS MACHS,COM,,459200,45920010,459200101
459200 90 1  ,INTERNATIONAL BUSINESS MACHS,CALL,,459200,45920090,459200901
459200 95 1  ,INTERNATIONAL BUSINESS MACHS,PUT,,459200,45920095,459200951
459506 10 1 *,INTERNATIONAL FLAVORS&FRAGRA,COM,,459506,45950610,459506101
459506 90 1  ,INTERNATIONAL FLAVORS&FRAGRA,CALL,,459506,45950690,459506901
459506 95 1  ,INTERNATIONAL FLAVORS&FRAGRA,PUT,,459506,45950695,459506951
459506 30 9,INTERNATIONAL FLAVORS&FRAGRA,UNIT 09/15/2021,,459506,45950630,459506309
46005L 10 1,INTERNATIONAL MNY EXPRESS IN,COM,,46005L,46005L10,46005L101
460146 10 3 *,INTERNATIONAL PAPER CO,COM,,460146,46014610,460146103
460146 90 3  ,INTERNATIONAL PAPER CO,CALL,,460146,46014690,460146903
460146 95 3  ,INTERNATIONAL PAPER CO,PUT,,460146,46014695,460146953
46050R 10 2 *,INTERNATIONAL TOWER HILL MIN,COM,,46050R,46050R10,46050R102
46050R 90 2  ,INTERNATIONAL TOWER HILL MIN,CALL,,46050R,46050R90,46050R902
46050R 95 2  ,INTERNATIONAL TOWER HILL MIN,PUT,,46050R,46050R95,46050R952
46062X 30 3,INTERPACE BIOSCIENCES INC,COM,,46062X,46062X30,46062X303
46064A 10 3,INTERPRIVATE ACQUISITION COR,COM,,46064A,46064A10,46064A103
46064A 11 1,INTERPRIVATE ACQUISITION COR,*W EXP 10/24/202,,46064A,46064A11,46064A111
46064A 20 2,INTERPRIVATE ACQUISITION COR,UNIT 10/29/2024,,46064A,46064A20,46064A202
460690 10 0 *,INTERPUBLIC GROUP COS INC,COM,,460690,46069010,460690100
460690 90 0  ,INTERPUBLIC GROUP COS INC,CALL,,460690,46069090,460690900
460690 95 0  ,INTERPUBLIC GROUP COS INC,PUT,,460690,46069095,460690950
46071F 10 3 *,INTERSECT ENT INC,COM,,46071F,46071F10,46071F103
46071F 90 3  ,INTERSECT ENT INC,CALL,,46071F,46071F90,46071F903
