,ticker,company_name,NASDAQ_sector
13,SUI,"Sun Communities, Inc. Common Stock",Financial
14,NTIOF,National Bank of Canada,Financial
15,MAA,"Mid-America Apartment Communities, Inc. Common Stock",Financial
16,OTPBF,National Savings &amp; Commercial Bank Ltd. (Hungary),Financial
17,SURDF,Sumitomo Rlty &amp; Dev Co Ltd,Financial
18,CBRE,CBRE Group Inc Common Stock Class A,Financial
19,NRSCF,Nomura Holdings Inc,Financial
0,HIG,"Hartford Financial Services Group, Inc. (The) Common Stock",Financial
1,PEAK,"Healthpeak Properties, Inc. Common Stock",Financial
2,NHOLF,Sompo Holdings Inc,Financial
3,BXP,"Boston Properties, Inc. Common Stock",Financial
4,DFS,Discover Financial Services Common Stock,Financial
5,FANDF,FirstRand Ltd.,Financial
6,PPERY,Bank Mandiri Persero Tbk PT ADR,Financial
7,WRFRF,Wharf Real Estate Investment Co Ltd,Financial
8,SWDBY,Swedbank AB ADR (Sponsored),Financial
9,SKHSF,Sekisui House Ltd. (Japan),Financial
10,FITB,Fifth Third Bancorp Common Stock,Financial
11,MKL,Markel Corporation Common Stock,Financial
12,MTB,M&amp;T Bank Corporation Common Stock,Financial
13,DRE,Duke Realty Corporation Common Stock,Financial
14,NMR,Nomura Holdings Inc ADR American Depositary Shares,Financial
15,SHG,Shinhan Financial Group Co Ltd American Depositary Shares,Financial
16,EXXRF,Exor NV,Financial
17,FOSUF,Fosun International Ltd,Financial
18,CBOE,"Cboe Global Markets, Inc. Common Stock",Financial
19,AVVIY,Aviva Plc (United Kingdom) ADR,Financial
0,SCGLY,Societe Generale ADR (Sponsored),Financial
1,NDVLF,New World Development Co. Ltd.,Financial
2,BAP,Credicorp Ltd. Common Stock,Financial
3,EXR,Extra Space Storage Inc Common Stock,Financial
4,BRO,"Brown &amp; Brown, Inc. Common Stock",Financial
5,VTR,"Ventas, Inc. Common Stock",Financial
6,HTNGF,Haitong Securities Co. Ltd.,Financial
7,NBFJF,Nippon Building Fund Inc,Financial
8,ELS,"Equity Lifestyle Properties, Inc. Common Stock",Financial
