,ticker,company_name,NASDAQ_sector
8,CPAA,Conyers Park II Acquisition Corp. Class A Common Stock,Financial
9,RDPEF,Redefine Properties Ltd.,Financial
10,HBIA,Hills Bancorp Of Iowa,Financial
11,DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,Financial
12,MNXBF,Monex Group Inc.,Financial
13,CHLTF,ARA LOGOS Logistics Trust - Unit,Financial
14,TIACF,Tian An China Invsts,Financial
15,CBAOF,CIBanco SA Ctf Bursatiles Fiduciarios Inmobiliaro Ser 13,Financial
16,AMBC,"Ambac Financial Group, Inc. Common Stock",Financial
17,OCSL,Oaktree Specialty Lending Corporation Common Stock,Financial
18,SCU,"Sculptor Capital Management, Inc. Class A Common Stock",Financial
19,HFWA,Heritage Financial Corporation Common Stock,Financial
0,FMCB,Farmers &amp; Merchants Bancorp (Lodi CA),Financial
1,EXPI,"eXp World Holdings, Inc. Common Stock",Financial
2,EOHDF,Emeco Holdings Ltd Ord,Financial
3,OPB,Opus Bank Common Stock,Financial
4,AHH,"Armada Hoffler Properties, Inc. Common Stock",Financial
5,FFWM,First Foundation Inc. Common Stock,Financial
6,UVE,UNIVERSAL INSURANCE HOLDINGS INC Common Stock,Financial
7,CMPRF,Gentera Sab De Cv Ord,Financial
8,AINV,Apollo Investment Corporation Common Stock,Financial
9,CASH,"Meta Financial Group, Inc. Common Stock",Financial
10,SKT,"Tanger Factory Outlet Centers, Inc. Common Stock",Financial
11,ISCDF,Isracard Ltd - Ordinary Shares,Financial
12,EBIX,"Ebix, Inc. Common Stock",Financial
13,OFG,OFG Bancorp Common Stock,Financial
14,GHIV,"Gores Holdings IV, Inc. Class A Common Stock",Financial
15,TRST,TrustCo Bank Corp NY Common Stock,Financial
16,EBSB,"Meridian Bancorp, Inc. Common Stock",Financial
17,LSIHF,Lai Sun Garment (International) Ltd,Financial
18,FDEF,First Defiance Financial Corp. Common Stock,Financial
19,NCBS,Nicolet Bankshares Inc. Common Stock,Financial
0,CTBI,"Community Trust Bancorp, Inc. Common Stock",Financial
1,GMHI,"Gores Metropoulos, Inc. Class A Common Stock",Financial
2,GOOD,Gladstone Commercial Corporation Real Estate Investment Trust,Financial
3,TBK,"Triumph Bancorp, Inc. Common Stock",Financial
4,JSEJF,Jse Ltd Ord,Financial
5,BPFH,"Boston Private Financial Holdings, Inc. Common Stock",Financial
6,PCDVF,Pacific Cntry Regnl Dev,Financial
7,HYAC,Haymaker Acquisition Corp. II Class A Common Stock,Financial
8,BPIRY,Piraeus Bank SA ADR (New) 2015,Financial
9,BHLB,"Berkshire Hills Bancorp, Inc. Common Stock",Financial
10,FSP,Franklin Street Properties Corp. Common Stock,Financial
11,GSBC,"Great Southern Bancorp, Inc. Common Stock",Financial
12,INN,"Summit Hotel Properties, Inc. Common Stock",Financial
13,LBC,Luther Burbank Corporation Common Stock,Financial
14,CPSDF,CSI Properties Ltd.,Financial
15,CLNC,"Colony Credit Real Estate, Inc. Class A Common Stock",Financial
16,LOB,"Live Oak Bancshares, Inc. Common Stock",Financial
17,FINV,FinVolution Group American Depositary Shares,Financial
18,BPYU,Brookfield Property REIT Inc. Class A Common Stock,Financial
19,NFBK,"Northfield Bancorp, Inc. Common Stock (Delaware)",Financial
0,EHMEF,goeasy Ltd,Financial
1,LBAI,"Lakeland Bancorp, Inc. Common Stock",Financial
2,HEES,"H&amp;E Equipment Services, Inc. Common Stock",Financial
3,WASH,"Washington Trust Bancorp, Inc. Common Stock",Financial
4,SWZNF,Schweizerische Natlbank,Financial
5,PACQ,Pure Acquisition Corp. Class A Common Stock,Financial
6,BMTC,Bryn Mawr Bank Corporation Common Stock,Financial
7,HMST,"HomeStreet, Inc. Common Stock",Financial
8,PLZAF,PLZAF,Financial
9,PACK,Ranpak Holdings Corp Class A Common Stock,Financial
10,TRTX,"TPG RE Finance Trust, Inc. Common Stock",Financial
11,PFBC,Preferred Bank Common Stock,Financial
12,PBCFF,Public Financial Holdings Ltd,Financial
13,ARR,"ARMOUR Residential REIT, Inc.",Financial
14,WINA,Winmark Corporation Common Stock,Financial
15,UBA,Urstadt Biddle Properties Inc. Common Stock,Financial
16,AMTB,Amerant Bancorp Inc. Class A Common Stock,Financial
17,ABTX,"Allegiance Bancshares, Inc. Common Stock",Financial
18,CNOB,"ConnectOne Bancorp, Inc. Common Stock",Financial
19,CMO,Capstead Mortgage Corporation Common Stock,Financial
0,RLGY,Realogy Holdings Corp. Common Stock,Financial
1,UMH,"UMH Properties, Inc. Common Stock",Financial
2,FTAC,FinTech Acquisition Corp. III Class A Common Stock,Financial
3,FESNF,First Re Invst Tr Unit,Financial
4,AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Financial
5,CGBD,"TCG BDC, Inc. Common Stock",Financial
6,VSTKF,Vostok New Ventures Ltd Swedish Dep Rcpt SDB,Financial
7,RILY,"B. Riley Financial, Inc. Common Stock",Financial
8,IVR,INVESCO MORTGAGE CAPITAL INC Common Stock,Financial
9,HONE,"HarborOne Bancorp, Inc. Common Stock",Financial
10,EMCHF,EML Payments Ltd,Financial
11,BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",Financial
12,APXT,Apex Technology Acquisition Corporation Class A Common Stock,Financial
13,CFB,"CrossFirst Bankshares, Inc. Common Stock",Financial
14,DCOM,"Dime Community Bancshares, Inc. Common Stock",Financial
15,THFF,First Financial Corporation Indiana Common Stock,Financial
16,THBR,"Thunder Bridge Acquisition II, Ltd. Class A Ordinary Shares",Financial
17,GMRE,Global Medical REIT Inc. Common Stock,Financial
18,OBNK,"Origin Bancorp, Inc. Common Stock",Financial
19,RWT,"Redwood Trust, Inc. Common Stock",Financial
0,TIGR,UP Fintech Holding Ltd American Depositary Share representing fifteen Class A Ordinary Shares,Financial
1,YIN,Yintech Investment Holdings Limited American Depositary Shares,Financial
2,BANC,"Banc of California, Inc. Common Stock",Financial
3,MBI,MBIA Inc. Common Stock,Financial
4,GDYN,"Grid Dynamics Holdings, Inc. Class A Common Stock",Financial
5,UVSP,Univest Financial Corporation Common Stock,Financial
6,EFC,Ellington Financial Inc. Common Stock ,Financial
7,CAC,Camden National Corporation Common Stock,Financial
8,LFHLF,Lai Fung Holdings,Financial
9,MBIN,Merchants Bancorp Common Stock,Financial
10,PLPKF,PPK Group Ltd,Financial
11,CBTX,"CBTX, Inc. Common Stock",Financial
12,HTBK,Heritage Commerce Corp Common Stock,Financial
13,IHC,Independence Holding Company Common Stock,Financial
14,RPT,RPT Realty Common Stock,Financial
15,PROS,"ProSight Global, Inc. Common Stock",Financial
16,WETF,"WisdomTree Investments, Inc. Common Stock",Financial
17,AOZOF,Aozora Bank Ltd,Financial
18,TGH,Textainer Group Holdings Limited Common Shares,Financial
19,QCRH,"QCR Holdings, Inc. Common Stock",Financial
0,CPF,Central Pacific Financial Corp New,Financial
1,PEBO,Peoples Bancorp Inc. Common Stock,Financial
2,LCA,"Landcadia Holdings II, Inc. Class A Common Stock",Financial
3,DGICA,"Donegal Group, Inc. Class A Common Stock",Financial
4,CIO,"City Office REIT, Inc. Common Stock",Financial
5,LEOPF,Leopalace21 Corp,Financial
6,STCB,Starco Brands Inc,Financial
7,FRPH,"FRP Holdings, Inc. Common Stock",Financial
8,FMBH,"First Mid Bancshares, Inc. Common Stock",Financial
9,SBE,Switchback Energy Acquisition Corporation Class A Common Stock,Financial
10,SRG,Seritage Growth Properties Class A Common Stock,Financial
11,WRLD,World Acceptance Corporation Common Stock,Financial
12,PTPNF,PTPNF,Financial
13,ACAM,Acamar Partners Acquisition Corp. Class A Common Stock,Financial
14,AROW,Arrow Financial Corporation Common Stock,Financial
15,KLDI,KLDiscovery Inc - Ordinary Shares - Class A,Financial
16,BMRC,Bank of Marin Bancorp Common Stock,Financial
17,LGC,"Legacy Acquisition Corp. Class A Common Stock, par value $0.0001 per share",Financial
18,HCAC,Hennessy Capital Acquisition Corp. IV Class A Common Stock,Financial
19,IMXI,"International Money Express, Inc. Common Stock",Financial
0,HBNC,"Horizon Bancorp, Inc. Common Stock",Financial
1,FBMS,"First Bancshares, Inc.",Financial
2,LC,LendingClub Corporation Common Stock,Financial
3,ACTT,Act II Global Acquisition Corp. Class A Ordinary Shares,Financial
4,HTZ,"Hertz Global Holdings, Inc Common Stock ",Financial
5,TRNE,Trine Acquisition Corp. Class A Common Stock,Financial
6,RFNDF,Rural Funds Group Stapled Sec Fully Paid,Financial
7,CFFA,CF Finance Acquisition Corp. Class A Common Stock,Financial
8,TSC,"TriState Capital Holdings, Inc. Common Stock",Financial
9,BDGE,"Bridge Bancorp, Inc. Common Stock",Financial
10,BFC,Bank First Corporation Common Stock,Financial
11,CHPM,CHP Merger Corp. Class A Common Stock,Financial
12,PTLKF,Pt Lippo Kara Tbk Ord,Financial
13,BY,"Byline Bancorp, Inc. Common Stock",Financial
14,PUYI,Puyi Inc. American Depository Shares,Financial
15,DEUIF,Deutsche Industrie Grundbesitz AG,Financial
16,AIFIF,Asia Financial Holdings Ltd.,Financial
17,DBIN,Dacotah Banks Inc.,Financial
18,RPLA,Replay Acquisition Corp. Ordinary Shares,Financial
19,THCB,Tuscan Holdings Corp. Common Stock,Financial
0,PUB,People's Utah Bancorp Common Stock,Financial
1,CCORF,Canaccord Genuity Group Inc,Financial
2,GXGX,GX Acquisiton Corp. Class A Common Stock,Financial
3,NEBU,Nebula Acquisition Corporation Class A Common Stock,Financial
4,DDLX,DD's Deluxe Rod Holder Inc,Financial
5,DPHC,DiamondPeak Holdings Corp. Class A Common Stock,Financial
6,TRC,Tejon Ranch Co Common Stock,Financial
7,GAIN,Gladstone Investment Corporation Business Development Company,Financial
8,CNBKA,"Century Bancorp, Inc. Class A Common Stock",Financial
9,CNND,Canandaigua National Corp.,Financial
10,WSBF,"Waterstone Financial, Inc. Common Stock (MD)",Financial
11,EXPC,Experience Investment Corp. Class A Common Stock,Financial
12,TBBK,The Bancorp Inc Common Stock,Financial
13,GBLI,Global Indemnity Limited Ordinary Shares (Cayman Islands),Financial
14,CTT,"CatchMark Timber Trust, Inc. Class A Common Stock",Financial
15,HCI,"HCI Group, Inc. Common Stock",Financial
16,FCBC,"First Community Bankshares, Inc. (VA) Common Stock",Financial
17,ORGO,Organogenesis Holdings Inc. Class A Common Stock,Financial
18,DHIL,"Diamond Hill Investment Group, Inc. Class A Common Stock",Financial
19,HUIZ,Huize Holding Limited American Depositary Shares,Financial
0,RESI,Front Yard Residential Corporation Common Stock,Financial
1,FFMR,First Farmers Financial Corp.,Financial
2,COWN,Cowen Inc. Class A Common Stock,Financial
3,SRXXF,Sparx Asset Mgmt Co Ltd,Financial
4,SEMUF,Siem Industries Inc.,Financial
5,OITAF,Oita Bank Ltd (Japan),Financial
6,UIHC,United Insurance Holdings Corp. Common Stock,Financial
7,FLIC,First of Long Island Corporation (The) Common Stock,Financial
8,ENVA,"Enova International, Inc. Common Stock",Financial
9,GBL,"Gamco Investors, Inc. Common Stock",Financial
10,IGIC,International General Insurance Holdings Ltd. Ordinary Share,Financial
11,HRTG,"Heritage Insurance Holdings, Inc. Common Stock",Financial
12,NFIN,Netfin Acquisition Corp. Class A Ordinary Shares,Financial
13,FSB,"Franklin Financial Network, Inc. Common Stock",Financial
14,MSBI,"Midland States Bancorp, Inc. Common Stock",Financial
15,OTCM,OTC Markets Group Inc,Financial
16,MBWM,Mercantile Bank Corporation Common Stock,Financial
17,APTS,"Preferred Apartment Communities, Inc. Common Stock",Financial
18,BBDC,"Barings BDC, Inc. Common Stock",Financial
19,CIIC,CIIG Merger Corp. Class A Common Stock,Financial
0,GRAF,Graf Industrial Corp. Common Stock,Financial
1,HCCO,Healthcare Merger Corp. Class A Common Stock,Financial
2,FSRV,FinServ Acquisition Corp. Class A Common Stock,Financial
3,CRSA,Crescent Acquisition Corp Class A Common Stock,Financial
4,SMMC,South Mountain Merger Corp. Class A Common Stock,Financial
5,SSPK,Silver Spike Acquisition Corp. Class A Ordinary Shares,Financial
6,PZN,Pzena Investment Management Inc Class A Common Stock,Financial
7,HSTA,Hestia Insight Inc - Ordinary Shares,Financial
8,CRD.A,Crawford &amp; Company Common Stock,Financial
9,DRCHF,Direcional Engenharia SA,Financial
10,HIFS,Hingham Institution for Savings Common Stock,Financial
11,GDVTZ,Gould Investors L.P. Units LP Int.,Financial
12,ALRS,Alerus Financial Corporation Common Stock,Financial
13,HBT,"HBT Financial, Inc. Common Stock",Financial
14,BFYT,"Benefytt Technologies, Inc. Class A Common Stock",Financial
15,CCAP,"Crescent Capital BDC, Inc. Common stock",Financial
16,AMAL,Amalgamated Bank Class A Common Stock,Financial
17,GMHLF,Gam Holding Ltd.,Financial
18,RC,Ready Capital Corproation Common Stock,Financial
19,SNHPF,Sanei Architecture Planning Co.Ltd.,Financial
0,FMNB,Farmers National Banc Corp. Common Stock,Financial
1,CCBG,Capital City Bank Group Common Stock,Financial
2,PGC,Peapack-Gladstone Financial Corporation Common Stock,Financial
3,LPMDF,Lippo Malls Indonesia Tr,Financial
4,SHLL,Tortoise Acquisition Corp. Class A Common Stock,Financial
5,CIA,"Citizens, Inc. Class A Common Stock ($1.00 Par)",Financial
6,DX,"Dynex Capital, Inc. Common Stock",Financial
7,PSKXF,Philippine Stk Exch Inc,Financial
8,RMG,RMG Acquisition Corp. Class A Common Stock,Financial
9,PIC,Pivotal Investment Corporation II Class A Common Stock,Financial
10,CUBI,"Customers Bancorp, Inc Common Stock",Financial
11,NPA,New Providence Acquisition Corp. Class A Common Stock,Financial
12,SNLKF,Sinolink Wrldwde Hldg Ord,Financial
13,AMCI,AMCI Acquisition Corp. Class A Common Stock,Financial
14,NASB,NASB Financial Inc - Ordinary Shares,Financial
15,PFLT,PennantPark Floating Rate Capital Ltd. Common Stock,Financial
16,RRBI,"Red River Bancshares, Inc. Common Stock",Financial
17,OLP,"One Liberty Properties, Inc. Common Stock",Financial
18,LAND,Gladstone Land Corporation Common Stock,Financial
19,CATN,CAT9 Group Inc,Financial
0,FMCI,Forum Merger II Corporation Class A Common Stock,Financial
1,FFIC,Flushing Financial Corporation Common Stock,Financial
2,CAI,"CAI International, Inc. Common Stock",Financial
3,PSKRF,Protector Forsikring ASA,Financial
4,BHB,"Bar Harbor Bankshares, Inc. Common Stock",Financial
5,CATC,Cambridge Bancorp Common Stock,Financial
6,NODK,"NI Holdings, Inc. Common Stock",Financial
7,CRD.B,Crawford &amp; Company Common Stock,Financial
8,ATCX,"Atlas Technical Consultants, Inc. Class A Common Stock",Financial
9,SI,Silvergate Capital Corporation Class A Common Stock,Financial
10,EZPW,"EZCORP, Inc. Class A Non Voting Common Stock",Financial
11,GWGH,"GWG Holdings, Inc Common Stock",Financial
12,MOFG,MidWestOne Financial Gp Common Stock,Financial
13,JCAP,"Jernigan Capital, Inc. Common Stock",Financial
14,ATAX,"America First Multifamily Investors, L.P. Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests",Financial
15,SBNC,Southern BancShares (NC) Inc.,Financial
16,HUNTF,Hunter Maritime Acquisition Corp - Ordinary Shares - Class A,Financial
17,BWB,"Bridgewater Bancshares, Inc. Common Stock",Financial
18,GNTY,"Guaranty Bancshares, Inc. Common Stock",Financial
19,ORC,"Orchid Island Capital, Inc. Common Stock",Financial
0,IBCP,Independent Bank Corporation Common Stock,Financial
1,WTBA,West Bancorporation Common Stock,Financial
2,THVB,Thomasville Bancshares Inc.,Financial
3,PFIS,Peoples Financial Services Corp. Common Stock,Financial
4,CNF,"CNFinance Holdings Limited American Depositary Shares, each representing  twenty (20) Ordinary Shares",Financial
5,GPMT,Granite Point Mortgage Trust Inc. Common Stock,Financial
6,TPVG,TriplePoint Venture Growth BDC Corp. Common Stock,Financial
7,EBTC,Enterprise Bancorp Inc Common Stock,Financial
8,KCLI,Kansas City Life Ins.,Financial
9,LHC,Leo Holdings Corp. Class A Ordinary Shares,Financial
10,PTVCA,Protective Insurance Corporation Class A Common Stock,Financial
11,OAC,Oaktree Acquisition Corp. Class A Ordinary Shares,Financial
12,GCAP,"GAIN Capital Holdings, Inc. Common Stock",Financial
13,BSRR,Sierra Bancorp Common Stock,Financial
14,OPY,"Oppenheimer Holdings, Inc. Class A Common Stock (DE)",Financial
15,CURO,CURO Group Holdings Corp. Common Stock,Financial
16,MJCO,Majesco Common Stock,Financial
17,LACQ,Leisure Acquisition Corp. Common Stock,Financial
18,CREJF,CRE Inc,Financial
19,LATN,Union Acquisition Corp. II Ordinary Shares,Financial
0,GSMG,Glory Star New Media Group Holdings Limited Ordinary Share,Financial
1,CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest,Financial
2,SDWHF,Soundwill Holdings Ltd,Financial
3,AMNB,"American National Bankshares, Inc. Common Stock",Financial
4,HAFC,Hanmi Financial Corporation Common Stock,Financial
5,ALARF,Alaris Royalty Corp,Financial
6,CZNC,Citizens &amp; Northern Corp Common Stock,Financial
7,GLRE,"Greenlight Capital Re, Ltd. Class A Ordinary Shares",Financial
8,CSWC,Capital Southwest Corporation Common Stock,Financial
9,BFST,"Business First Bancshares, Inc. Common Stock",Financial
10,PBFS,"Pioneer Bancorp, Inc. Common Stock",Financial
11,SBBSF,Sabana Shariah Compliant,Financial
12,WTRE,Watford Holdings Ltd. Common Shares,Financial
13,FISI,"Financial Institutions, Inc. Common Stock",Financial
14,LMRK,Landmark Infrastructure Partners LP Common Units,Financial
15,FPI,Farmland Partners Inc. Common Stock,Financial
16,FMAO,"Farmers &amp; Merchants Bancorp, Inc. Common Stock",Financial
17,SCPE,SC Health Corporation Class A Ordinary Shares,Financial
18,ITIC,Investors Title Company Common Stock,Financial
19,RBB,RBB Bancorp Common Stock,Financial
0,MNCL,Monocle Acquisition Corporation Common Stock,Financial
1,MCBS,"MetroCity Bankshares, Inc. Common Stock",Financial
2,MCBC,Macatawa Bank Corporation Common Stock,Financial
3,HTBI,"HomeTrust Bancshares, Inc. Common Stock",Financial
4,GIX,"GigCapital2, Inc. Common Stock",Financial
5,MFAC,Megalith Financial Acquisition Corp. Class A Common Stock,Financial
6,CCNE,CNB Financial Corporation Common Stock,Financial
7,ATLC,Atlanticus Holdings Corporation Common Stock,Financial
8,RVI,Retail Value Inc. Common Stock ,Financial
9,SRAC,Stable Road Acquisition Corp. Class A Common Stock,Financial
10,COFS,"ChoiceOne Financial Services, Inc. Common Stock",Financial
11,TBNK,Territorial Bancorp Inc. Common Stock,Financial
12,LEJU,"Leju Holdings Limited American Depositary Shares, each representing one Ordinary share",Financial
13,THCA,Tuscan Holdings Corp. II Common Stock,Financial
14,SPFI,"South Plains Financial, Inc. Common Stock",Financial
15,BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,Financial
16,SMBK,"SmartFinancial, Inc. Common Stock",Financial
17,WSR,Whitestone REIT Common Shares,Financial
18,CRQDF,Credito Real SA De CV,Financial
19,ACBI,"Atlantic Capital Bancshares, Inc. Common Stock",Financial
0,PTAC,PropTech Acquisition Corporation Class A Common Stock,Financial
1,TIPT,Tiptree Inc. Common Stock,Financial
2,EQBK,"Equity Bancshares, Inc. Class A Common Stock",Financial
3,INSU,Insurance Acquisition Corp. Class A Common Stock,Financial
4,PFHD,Professional Holding Corp. Class A Common stock,Financial
5,ACRE,Ares Commercial Real Estate Corporation Common Stock,Financial
6,SONA,"Southern National Bancorp of Virginia, Inc. Common Stock",Financial
7,FIZN,First Citizens Bancshares Inc. (Dyersburg TN),Financial
8,RCBC,River City Bank (Sacramento CA),Financial
9,YTRGF,Y.T. Realty Group Ltd,Financial
10,CIVB,"Civista Bancshares, Inc. Common Stock",Financial
11,RFL,"Rafael Holdings, Inc. Class B Common Stock",Financial
12,FNLC,"First Bancorp, Inc  (ME) Common Stock",Financial
13,LFAC,LF Capital Acquistion Corp. Class A Common Stock,Financial
14,BNRPF,Solon Eiendom ASA,Financial
15,CZFS,Citizens Financial Services Inc,Financial
16,FDUS,Fidus Investment Corporation Common Stock,Financial
17,PCSB,PCSB Financial Corporation Common Stock,Financial
18,WINS,Wins Finance Holdings Inc. Ordinary Shares (Cayman Islands),Financial
19,MLP,"Maui Land &amp; Pineapple Company, Inc. Common Stock",Financial
0,FFMH,First Farmers &amp; Merchants Corp. (Columbia TN),Financial
1,EXSR,Exchange Bank (Santa Rosa CA),Financial
2,BRYAF,Berjaya Corporation Bhd,Financial
3,AMBZ,American Business Bank (Los Angeles CA),Financial
4,BMCDF,Bolsas Y Mercados Argentinos,Financial
5,ESNNF,Esun Holdings Ltd,Financial
6,RBNC,"Reliant Bancorp, Inc. Common Stock",Financial
7,GLAD,Gladstone Capital Corporation Common Stock,Financial
8,GRIF,"Griffin Industrial Realty, Inc. Common Stock",Financial
9,ARYA,ARYA Sciences Acquisiton Corp. Class A Ordinary Shares ,Financial
10,CARE,Carter Bank &amp; Trust Common Stock,Financial
11,SNR,New Senior Investment Group Inc. Common Stock,Financial
12,SFST,"Southern First Bancshares, Inc. Common Stock",Financial
13,HBCP,"Home Bancorp, Inc. Common Stock",Financial
14,SMBC,"Southern Missouri Bancorp, Inc. Common Stock",Financial
15,FRRGF,Frontier Digital Ventures Ltd,Financial
16,IRS,IRSA Inversiones Y Representaciones S.A. Common Stock,Financial
17,ENOB,"Enochian Biosciences, Inc. Common Stock",Financial
18,OSBC,"Old Second Bancorp, Inc. Common Stock",Financial
19,HGDPF,Helgeland Sparebank,Financial
0,SMMF,"Summit Financial Group, Inc. Common Stock",Financial
1,SIEB,Siebert Financial Corp. Common Stock,Financial
2,CPLG,CorePoint Lodging Inc. Common Stock ,Financial
3,SUNS,Solar Senior Capital Ltd. Common Stock,Financial
4,OPRT,Oportun Financial Corporation Common Stock,Financial
5,FNBT,Finemark Holdings Inc,Financial
6,PIOE,P10 Holdings Inc,Financial
7,STXB,"Spirit of Texas Bancshares, Inc. Common Stock",Financial
8,ACNB,ACNB Corporation Common Stock,Financial
9,FFXXF,Fairfax Africa Holdings,Financial
10,PNNT,PennantPark Investment Corporation Common Stock,Financial
11,CSTR,"CapStar Financial Holdings, Inc. Common Stock",Financial
12,MCB,Metropolitan Bank Holding Corp. Common Stock,Financial
13,FDBC,"Fidelity D &amp; D Bancorp, Inc. Common Stock",Financial
14,NZSTF,NZX Ltd.,Financial
15,MCRNF,Micro-Mechanics Ltd Ord,Financial
16,VERY,"Vericity, Inc. Common Stock",Financial
17,SUPV,Grupo Supervielle S.A. American Depositary Shares each Representing five Class B shares,Financial
18,UFFRF,Unifin Financiera SAB De CV,Financial
19,ALTM,Altus Midstream Company Class A Common Stock,Financial
0,AUBN,"Auburn National Bancorporation, Inc. Common Stock",Financial
1,CTO,"CTO Realty Growth, Inc. Common Stock ",Financial
2,GCBC,"Greene County Bancorp, Inc. Common Stock",Financial
3,ALPIB,Alpine Banks Colorado,Financial
4,PLYM,"Plymouth Industrial REIT, Inc. Common Stock",Financial
5,VNKEF,Vanke Overseas Investment Holding Company Limited - Ordinary Shares,Financial
6,HBMD,"Howard Bancorp, Inc. Common Stock",Financial
7,PTVCB,Protective Insurance Corporation Class B Common Stock,Financial
8,RM,Regional Management Corp. Common Stock,Financial
9,NKSH,"National Bankshares, Inc. Common Stock",Financial
10,WNRP,West Suburban Bancorp Inc.,Financial
11,ESSC,East Stone Acquisition Corporation Ordinary Shares,Financial
12,DMTK,"DermTech, Inc. Common Stock",Financial
13,BKCC,BlackRock Capital Investment Corporation Common Stock,Financial
14,FCAP,"First Capital, Inc. Common Stock",Financial
15,PFBI,"Premier Financial Bancorp, Inc. Common Stock",Financial
16,GPIIF,GP Investments Ltd,Financial
17,TSRUF,Pacific Current Group Ltd,Financial
18,GLEO,Galileo Acquisition Corp. Ordinary Shares,Financial
19,CSHX,Cashmere Valley Bank Washington (New),Financial
0,WHF,"WhiteHorse Finance, Inc. Common Stock",Financial
1,AJX,Great Ajax Corp. Common Stock,Financial
2,MODVF,Melcor Developments Ltd,Financial
3,ATLO,Ames National Corporation Common Stock,Financial
4,GHL,"Greenhill &amp; Co., Inc. Common Stock",Financial
5,SAMA,Schultze Special Purpose Acquisition Corp. Common Stock,Financial
6,ALTG,Alta Equipment Group Inc. Class A Common Stock,Financial
7,SJ,Scienjoy Holding Corporation Ordinary Shares,Financial
8,LCNB,LCNB Corporation Common Stock,Financial
9,FSBW,"FS Bancorp, Inc. Common Stock",Financial
10,MCMJ,Merida Merger Corp. I Common Stock,Financial
11,CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares,Financial
12,NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,Financial
13,IRCP,IRSA Propiedades Comerciales S.A. American Depositary Shares,Financial
14,FCBP,First Choice Bancorp Common Stock,Financial
15,PVBC,"Provident Bancorp, Inc. (MD) Common Stock",Financial
16,CVCY,Central Valley Community Bancorp Common Stock,Financial
17,HT,Hersha Hospitality Trust Class A Common Shares of Beneficial Interest,Financial
18,FLY,Fly Leasing Limited,Financial
19,BBCP,"Concrete Pumping Holdings, Inc. Common Stock",Financial
0,TCI,"Transcontinental Realty Investors, Inc. Common Stock",Financial
1,ALAC,Alberton Acquisition Corporation Ordinary Shares,Financial
2,QTRHF,Quarterhill Inc - Ordinary Shares,Financial
3,MVBF,MVB Financial Corp. Common Stock,Financial
4,FNHC,FedNat Holding Company Common Stock,Financial
5,SAR,Saratoga Investment Corp New,Financial
6,BBX,BBX Capital Corporation Class A Common Stock,Financial
7,TGRF,TGR Financial Inc,Financial
8,BCBP,"BCB Bancorp, Inc. (NJ) Common Stock",Financial
9,MPB,Mid Penn Bancorp Common Stock,Financial
10,EVOA,EVO Transportation &amp; Energy Services Inc,Financial
11,CORR,"CorEnergy Infrastructure Trust, Inc. Common Stock",Financial
12,CFNB,California First National Bancorp - Ordinary Shares,Financial
13,WHG,Westwood Holdings Group Inc Common Stock,Financial
14,CCB,Coastal Financial Corporation Common Stock,Financial
15,FVCB,"FVCBankcorp, Inc. Common Stock",Financial
16,UNTY,"Unity Bancorp, Inc. Common Stock",Financial
17,PWOD,"Penns Woods Bancorp, Inc. Common Stock",Financial
18,GPAQ,Gordon Pointe Acquisition Corp. Class A Common Stock,Financial
19,HCKG,Hocking Valley Bancshares Inc.,Financial
0,NWFL,Norwood Financial Corp. Common Stock,Financial
1,PAAC,Proficient Alpha Acquisition Corp. Common Stock,Financial
2,JMSB,John Marshall Bancorp Inc,Financial
3,GLBD,Global Seed Corp,Financial
4,BRT,BRT Apartments Corp. (MD) Common Stock,Financial
5,MSBC,Mission Bancorp (Bakersfield CA),Financial
6,ANH,Anworth Mortgage Asset Corporation Common Stock,Financial
7,SBBX,SB One Bancorp Common Stock,Financial
8,PHGE,BiomX Inc. COmmon Stock,Financial
9,CBNK,"Capital Bancorp, Inc. Common Stock",Financial
10,SBT,"Sterling Bancorp, Inc. Common Stock",Financial
11,TRCY,Tri City Bankshares Corp.,Financial
12,PICO,"PICO Holdings, Inc. Common Stock (DE)",Financial
13,ANDA,Andina Acquisition Corp. III Ordinary Shares,Financial
14,TDAC,Trident Acquisitions Corp. Common Stock,Financial
15,ORRF,Orrstown Financial Services Inc Common Stock,Financial
16,CMCT,CIM Commercial Trust Corporation Common stock,Financial
17,GANS,GAINSCO Inc.,Financial
18,TSBK,"Timberland Bancorp, Inc. Common Stock",Financial
19,ESSA,"ESSA Bancorp, Inc. Common Stock",Financial
0,RMBI,"Richmond Mutual Bancorporation, Inc. Common Stock",Financial
1,MRCC,Monroe Capital Corporation Common Stock,Financial
2,PKBK,"Parke Bancorp, Inc. Common Stock",Financial
3,FSMK,1St Summit Bncrp Johntown,Financial
4,XIN,Xinyuan Real Estate Co Ltd American Depositary Shares,Financial
5,BRG,"Bluerock Residential Growth REIT, Inc. Class A Common Stock",Financial
6,SAMG,Silvercrest Asset Management Group Inc. Class A Common Stock,Financial
